id	name_eng	titolo_eng	name_ita	desc_ita
73	Cycles per second (c/s)	Unit of frequency defined as the number of complete cycles in one second. Synonym: hertz (Hz). (See frequency).	Cicli al secondo (c/s)	Unità di frequenza definita come il numero di cicli completi in un secondo. Sinonimo: Hertz (Hz). (Vedi frequenza).
74	Deep sleep	Non-REM sleep stage N3 is dominated (≥20%) by slow delta waves of frequency 0.5 to 2 Hz and peak-to-peak amplitude >75 µV, measured over the frontal regions. Synonym: slow wave sleep. (See light sleep).	Sonno profondo	La fase N3 del sonno NREM è dominata (≥20%) da onde delta lente di frequenza da 0,5 a 2 Hz e ampiezza da picco a picco >75 µV, misurate sulle regioni frontali. Sinonimo: sonno a onde lente. (Vedi sonno leggero).
75	Delta band	Frequency band of 0.1–<4 Hz. Greek letter: δ. Comment: for practical purposes lower frequency limit is 0.5 Hz, as DC potential differences are not monitored in conventional EEGs.	Banda delta	Banda di frequenza di 0,1–<4 Hz. Lettera greca: δ. Commento: ai fini pratici il limite inferiore di frequenza è 0,5 Hz, poiché le differenze di potenziale in corrente continua (DC) non sono registrabili negli EEG convenzionali.
76	Delta brush	Normal neonatal graphoelement, seen at 26–40 weeks of post menstrual age (PMA), maximal around 32–34 weeks, and rare at term; combination of delta wave (0.3–1.5 c/s; 50–300 µV) with superimposed fast activity (>8 Hz; 10–60 µV). Localization changes with PMA. Synonyms: ripples of prematurity, spindle-delta bursts (use of terms discouraged). (See also extreme delta brush).	Delta brush	Normale grafoelemento neonatale, osservabile tra le settimane 26-40 di età gestazionale, con massima espressione a 32-34 settimane, e più raramente a termine; combinazione di onda delta (0,3-1,5 Hz; 50-300 µV) con attività rapida sovraimposta (>8 Hz; 10-60 µV). La localizzazione è variabile e dipende dall’epoca gestazionale. Sinonimi: onda lenta increspata (della prematurità), complessi fuso-delta (l'uso dei termini è sconsigliato). (Vedi anche extreme delta brush).
77	Delta wave	Wave with duration of ¼-2 s (250–2000 ms).	Onda delta	Onda con durata di ¼-2 s (250-2000 ms).
78	Depth electrode	Electrode (usually a multicontact electrode) implanted within the brain substance.	Elettrodo di profondità	Elettrodo (di solito un elettrodo multicontatto) impiantato all'interno della sostanza cerebrale.
79	Depth electroencephalogram	Recording of electrical activity of the brain by means of electrodes implanted within the brain substance, usually deep structures such as both hippocampi (see for example stereotactic [stereotaxic] depth electroencephalogram).	Elettroencefalogramma di profondità	Registrazione dell'attività elettrica cerebrale con elettrodi impiantati direttamente all'interno della sostanza cerebrale; di solito si tratta di strutture profonde come gli ippocampi (vedi per esempio elettroencefalogramma di profondità stereotassico).
80	Depth electroencephalography	Technique of recording intra-cranial depth electroencephalogram (see for example stereotactic [stereotaxic] depth electroencephalography).	Elettroencefalografia di profondità	Tecnica di registrazione dell'elettroencefalogramma intracerebrale di profondità (vedi per esempio elettroencefalogramma stereotassico di profondità).
81	Derivation	(1) The process of recording from, or computing voltage differences between, a pair of electrodes in an EEG channel. (2) The EEG record obtained by this process.	Derivazione	(1) il processo di registrazione da, o il calcolo delle differenze di voltaggio tra, una coppia di elettrodi in un canale EEG; (2) la registrazione EEG ottenuta da questo processo.
82	Desynchronization	Terms suggested: blocking or attenuation, depending on circumstance. The term desynchronization is acceptable when referring to the mechanisms presumably responsible for blocking or attenuation. It is also used in describing attenuation of a frequency band based on power spectra analysis of the EEG signal (for instance “event-related desynchronization”). (See blocking and attenuation).	Desincronizzazione	Termini suggeriti: blocco o attenuazione, a seconda delle circostanze. Il termine desincronizzazione è accettabile quando ci si riferisce ai meccanismi presumibilmente responsabili del blocco o dell'attenuazione. È anche usato per descrivere l'attenuazione di una banda di frequenza basata sull'analisi degli spettri di potenza del segnale EEG (per esempio “desincronizzazione legata agli eventi”). (Vedi blocco e attenuazione).
83	Diffuse	Colloquialism: an EEG activity spread over large areas of both sides of the head (see generalized). This does not imply abnormality as a normal rhythm may be diffusely distributed (for example alpha activity in some individuals, or slow waves in deep sleep). Comment: where possible the topographic distribution, symmetry and synchrony should be specified.	Diffuso	Termine colloquiale: un'attività EEG diffusa su ampie aree di entrambi i lati dello scalpo (vedi generalizzato). Questo non implica di per sé qualcosa di patologico, poiché un ritmo normale può essere distribuito in modo diffuso (per esempio l'attività alfa in alcuni individui, o le onde lente nel sonno profondo). Commento: dove possibile si dovrebbe specificare la distribuzione topografica, la simmetria e la sincronia.
84	Differential amplifier	An amplifier whose output is proportional to the voltage difference between its two input terminals. Comment: electroencephalographs make use of differential amplifiers in their input stages.	Amplificatore differenziale	Un amplificatore la cui uscita è proporzionale alla differenza di voltaggio tra i suoi due terminali di ingresso. Commento: gli elettroencefalografi fanno uso di amplificatori differenziali nei loro stadi di ingresso.
85	Differential signal	Difference between two signals applied to the respective two input terminals of a differential EEG amplifier.	Segnale differenziale	Differenza tra due segnali applicati ai rispettivi due terminali d'ingresso di un amplificatore EEG differenziale.
86	Digital EEG	(1) The representation of an analog EEG signal by a series of numbers related to successive measurements of the magnitude of the signal at equal time intervals. (2) The practice of electroencephalography using digital representation of EEGs.	EEG digitale	(1) la rappresentazione di un segnale EEG analogico mediante una serie di numeri relativi a misure successive della grandezza del segnale a intervalli di tempo uguali; (2) la pratica dell'elettroencefalografia utilizzando la rappresentazione digitale dell'EEG.
87	Diphasic wave	Complex consisting of two wave components developed on alternate sides of the baseline. Synonym: Biphasic wave.	Onda difasica	Complesso costituito da due componenti d'onda che si sviluppano sui lati opposti della linea di base. Sinonimo: onda bifasica.
88	Dipole	An EEG signal vector produced by a separation of negative (sink) and positive (source) potential poles (or current). A dipole is characterized by its strength, location and orientation. Depending on their orientation, dipoles can be radial (perpendicular to the surface), tangential (parallel to the surface) or a combination of these (oblique). Comment: an equivalent current dipole is a theoretical construct commonly used in source imaging to model a generator of an EEG signal located in the center of gravity of the source (for example an evoked potential, or an epileptiform discharge). Distributed source models are computed using a large number of small dipoles, distributed within the source space.	Dipolo	Un vettore di segnale EEG prodotto da una separazione di poli di potenza/potenziale elettrico (o corrente) negativo (dispersore) e positivo (sorgente). Un dipolo è caratterizzato dalla sua potenza, posizione/topografia e orientamento. A seconda del loro orientamento, i dipoli possono essere radiali (perpendicolari alla superficie), tangenziali (paralleli alla superficie) o una combinazione di questi (obliqui). Commento: un dipolo di corrente equivalente è un costrutto teorico comunemente usato nella rappresentazione della sorgente per modellare un generatore di un segnale EEG situato nel centro di gravità della sorgente (per esempio un potenziale evocato, o una scarica epilettiforme). I modelli di sorgente distribuita sono calcolati usando un gran numero di piccoli dipoli, distribuiti nello spazio della sorgente.
89	Direct coupled amplifier	An amplifier in which successive stages are connected (coupled) by devices, the performance of which is not frequency dependent.	Amplificatore ad accoppiamento diretto	Un amplificatore in cui gli stadi successivi sono collegati (accoppiati) da dispositivi, le cui prestazioni non dipendono dalla frequenza.
90	Direct current (DC-) amplifier	An amplifier that is capable of recording DC (zero frequency) voltages and slowly varying voltages.	Amplificatore a corrente continua (DC, direct current)	Un amplificatore in grado di registrare voltaggi in corrente continua (frequenza zero) e voltaggi lentamente variabili.
91	Discharge	Waveforms with no more than 3 phases (i.e. crosses the baseline no more than twice) or any waveform lasting 0.5 s or less, regardless of the number of phases. Interpretive term of action potentials and post-synaptic potentials commonly used to designate interictal epileptiform and seizure patterns (see epileptiform pattern, seizure pattern).	Scarica	Forme d'onda con non più di 3 fasi (cioè attraversa la linea di base non più di due volte) o qualsiasi forma d'onda di durata pari o inferiore a 0,5 s, indipendentemente dal numero di fasi. Termine interpretativo dei potenziali d'azione e dei potenziali postsinaptici comunemente usato per indicare i pattern epilettiformi critici e intercritici (vedi pattern epilettiforme, pattern critico).
92	Disk electrode	Typically a metal disk attached to the scalp with an adhesive such as collodion or adherent conductive paste.	Elettrodo a coppetta	Un disco di metallo attaccato al cuoio capelluto con una sostanza adesiva come il collodio o una pasta adesiva e conduttiva.
93	Disorganization	Gross alteration in frequency, form, topography and/or quantity of physiologic EEG rhythms in: (1) an individual record, relative to previous records in the same subject or the rhythms of homologous regions on the opposite side of the head, or (2) relative to findings in normal subjects of similar age and similar state of vigilance. (See organization).	Disorganizzazione	Grossolana alterazione della frequenza, della forma, della topografia e/o della quantità dei ritmi EEG fisiologici in: (1) una singola registrazione, rispetto alle registrazioni precedenti nello stesso soggetto o ai ritmi di regioni omologhe sul lato opposto dello scalpo, o (2) rispetto ai risultati in soggetti normali di età simile e di simile stato di vigilanza. (Vedi organizzazione).
94	Display Gain	Manipulation of the data after acquisition to change the visual size of waveforms in order to aid visual inspection. Comment: results of increase or decrease of the display gain are similar to changes of sensitivity during acquisition.	Display gain (lett. guadagno di visualizzazione)	Manipolazione dei dati dopo la loro acquisizione per modificare la dimensione visiva delle forme d'onda al fine di facilitare l'ispezione visiva. Commento: i risultati dell'aumento o della diminuzione del display gain sono simili ai cambiamenti di sensibilità durante l'acquisizione.
95	Distortion	An instrument-induced alteration of waveform (see artifact, clipping).	Distorsione	Un'alterazione della forma d'onda indotta dallo strumento (vedi artefatto, clipping).
96	Duration	(1) The interval from beginning to end of an individual wave or complex. Comment: the duration of the cycle of individual components of a sequence of regularly repeating waves or complexes is referred to as the period of the wave or complex. (2) The time that a sequence of waves or complexes or any other distinguishable feature lasts in an EEG record.	Durata	(1) l'intervallo dall'inizio alla fine di una singola onda o complesso. Commento: la durata del ciclo dei singoli componenti di una sequenza di onde o complessi che si ripetono regolarmente viene definita periodo dell'onda o del complesso; (2) il tempo di durata, in una registrazione EEG, di una sequenza di onde o di complessi o di qualsiasi altra attività.
97	Electrical status epilepticus during sleep (ESES)	an EEG pattern seen in childhood which consists of continuous or near continuous spike-and-slow-waves during sleep. Discharges may be seen in wakefulness, often with a frontal or temporal emphasis, but increase markedly in sleep and typically abate in REM sleep. Quantification of epileptiform activity is not standardized but some use spike-and-slow-wave index of >50% or >85%. Most children have or develop seizures and present with neurocognitive dysfunction. Comment: often used synonymously with continuous spike and waves during sleep (CSWS). (See index, slow wave sleep, continuous spike and waves during sleep).	Stato epilettico elettrico durante il sonno (ESES, electrical status epilepticus during sleep)	Un pattern EEG che si osserva nell'infanzia costituito da complessi punta-onda-lenta continui o subcontinui durante il sonno. Le scariche possono essere osservate in veglia, spesso più evidenti sulle regioni frontali o temporali; aumentano notevolmente nel sonno e tipicamente diminuiscono nel sonno REM. La quantificazione dell'attività epilettiforme non è standardizzata, ma può essere utilizzato un cut-off di rappresentazione sul tracciato di complessi punta-onda-lenta per >50% o >85% della durata di registrazione. La maggior parte dei bambini con ESES hanno o svilupperanno crisi epilettiche, oltre a presentare disturbi neurocognitivi. Commento: spesso usato come sinonimo punta-onda continue durante il sonno (CSWS, continuous spike and waves during sleep). (Vedi indice, sonno a onde lente, punta-onda continue durante il sonno).
98	Electrocerebral inactivity	Absence over all regions of the head of identifiable electrical activity of cerebral origin, whether spontaneous or induced by physiological stimuli or pharmacological agents. Comment: strict technical recording standards should be observed in suspected cerebral death (Stecker et al., 2016). Tracings of electrocerebral inactivity should be clearly distinguished from low voltage EEGs (see low voltage EEG). Synonyms: electrocerebral silence, flat or isoelectric EEG (use of terms discouraged).	Inattività elettrocerebrale	Assenza su tutte le regioni dello scalpo di attività elettrica identificabile come di origine cerebrale, sia spontanea che indotta da stimoli fisiologici o agenti farmacologici. Commento: in caso di sospetta morte encefalica si devono adottare rigorosi standard tecnici di registrazione (Stecker et al., 2016). I tracciati di inattività elettrocerebrale devono essere chiaramente distinti dagli EEG di basso voltaggio (vedi EEG di basso voltaggio). Sinonimi: silenzio elettrico cerebrale, EEG piatto o isoelettrico (l'uso di questi termini è sconsigliato). N.d.T.: assenza di attività elettrica cerebrale.
99	Electrocorticogram (ECoG)	Record of EEG activity obtained by means of electrodes applied directly over or inserted in to the cerebral cortex. Comment: electrocorticograms can be performed intraoperatively and extraoperatively after surgical implantation (see subdural electrode).	Elettrocorticogramma (ECoG)	Registrazione dell'attività EEG utilizzando elettrodi appoggiati sulla superficie corticale. Commento: gli elettrocorticogrammi possono essere eseguiti durante l'intervento chirurgico o successivamente all'impianto (vedi elettrodo subdurale).
100	Electrocorticography (ECoG)	Technique of recording electrical activity of the brain by means of electrodes applied over or implanted in to the cerebral cortex. Comment: electrocorticography can be performed intraoperatively and extraoperatively after surgical implantation (see subdural electrode).	Elettrocorticografia (ECoG)	Tecnica di registrazione dell'attività elettrica cerebrale attraverso elettrodi appoggiati sulla superficie corticale. Commento: l'elettrocorticografia può essere eseguita durante l'intervento chirurgico o successivamente all'impianto (vedi elettrodo subdurale).
101	Electrode, EEG	A conducting device applied over or inserted in a region of the scalp or brain.	Elettrodo, EEG	Un dispositivo conduttore applicato su una regione dello scalpo o inserito in una regione del cervello.
102	Electrodecrement	A period of amplitude attenuation usually with superimposed fast activity.	Elettrodecremento	Un periodo di attenuazione dell'ampiezza di solito associato ad attività rapida sovraimposta.
103	Electrode impedance	Total effective resistance to alternating current (AC), arising from ohmic resistance and reactance. Measured between pairs of electrodes or, in some electroencephalographs, between each individual electrode and all the other electrodes connected in parallel. Expressed in ohms (generally kilo-ohms, kΩ). Comments: (1) over the EEG frequency range, because the capacitance factor is small, electrode impedance is usually equal to electrode resistance. (2) Not a synonym of input impedance of EEG amplifier (see electrode resistance, input impedance).	Impedenza dell'elettrodo	Resistenza effettiva totale alla corrente alternata (AC, alternating current), derivante dalla resistenza e dalla reattanza. Misurata tra coppie di elettrodi o, in alcuni elettroencefalografi, tra ogni singolo elettrodo e tutti gli altri elettrodi collegati in parallelo. Espressa in ohm (generalmente kilo-ohm, kΩ). Commenti: (1) nella gamma di frequenza EEG, poiché il fattore di capacità è piccolo, l'impedenza dell'elettrodo è solitamente uguale alla resistenza dell'elettrodo; (2) non è un sinonimo di impedenza di ingresso dell'amplificatore EEG (vedi resistenza dell'elettrodo, impedenza di ingresso).
104	Electrode resistance	Total effective resistance to direct current (DC), through the interface between an EEG electrode and the scalp or brain. Measured between pairs of electrodes or, in some electroencephalographs, between each individual electrode and all the other electrodes connected in parallel. Expressed in ohms (generally kilo-ohms, kΩ). Comment: measurement of electrode resistance with DC currents results in varying degrees of electrode polarization (see electrode impedance).	Resistenza elettrodica	Resistenza effettiva totale alla corrente continua (DC, direct current), attraverso l'interfaccia tra un elettrodo EEG e lo scalpo o il cervello. Misurata tra coppie di elettrodi o, in alcuni elettroencefalografi, tra ogni singolo elettrodo e tutti gli altri elettrodi collegati in parallelo. Espressa in ohm (generalmente kilo-ohm, kΩ). Commento: la misurazione della resistenza dell'elettrodo con correnti continue risulta in diversi gradi di polarizzazione dell'elettrodo (vedi impedenza dell'elettrodo).
105	Electroencephalogram (EEG)	Record of electrical activity of the brain taken by means of electrodes placed on the surface of the head, unless otherwise specified.	Elettroencefalogramma (EEG)	Registrazione dell'attività elettrica cerebrale attraverso elettrodi posti sullo scalpo, se non diversamente specificato.
106	Electroencephalograph (EEG)	Instrument employed to record electroencephalograms.	Elettroencefalografo (EEG)	Strumento impiegato per registrare gli elettroencefalogrammi.
107	Electroencephalographic	Appertaining to bioelectrical recording, irrespective of the method employed (in the present context EEG, ECoG, SEEG, etc.).	Elettroencefalografico	Relativo alla registrazione bioelettrica, indipendentemente dal metodo impiegato (nel presente contesto EEG, ECoG, SEEG, ecc.).
108	Electroencephalography (EEG)	(1) The science relating to the electrical activity of the brain. (2) The practice of recording and interpreting electroencephalograms.	Elettroencefalografia (EEG)	(1) la scienza che studia l'attività elettrica cerebrale; (2) la pratica della registrazione e dell'interpretazione degli elettroencefalogrammi.
109	Encoche frontale	Normal neonatal graphoelement in term and near term infants, between 34 and 44 weeks post menstrual age. Frontal broad diphasic sharp waves (50–100 µV); typically bilateral, but may be unilateral. Usually seen in transition from active to quiet sleep. Synonym: anterior sharp transient, transient frontal sharp wave. (See active and quiet sleep).	Encoche frontale (lett. incisura frontale)	Grafoelemento fisiologico dell'età neonatale, nei neonati a termine e quasi a termine, tra le settimane 34 e 44 di età gestazionale. Onde frontali ampie e difasiche (50-100 µV); tipicamente bilaterale, può anche essere unilaterale. N.d.T.: in alcune occasioni possono presentarsi in maniera ripetitiva (treni/sequenze). Di solito si osserva durante la transizione da sonno attivo a sonno quieto. Sinonimo: incisura frontale, onda aguzza frontale fisiologica, transiente aguzzo anteriore fisiologico (Vedi sonno attivo e sonno quieto).
110	Epicortical electrode	Use of term discouraged. Synonym: subdural electrode (preferred term).	Elettrodo epicorticale	Uso del termine sconsigliato. Sinonimo: elettrodo subdurale (termine preferito).
111	Epidural electrode	Electrode located over the dural covering of the cerebrum.	Elettrodo epidurale	Elettrodo posizionato sopra la dura madre.
112	Epileptiform pattern	"Describes transients distinguishable from background activity with a characteristic morphology typically, but neither exclusively nor invariably, found in interictal EEGs of people with epilepsy. Epileptiform patterns have to fulfill at least 4 of the following 6 criteria: 
(1) Di- or tri-phasic waves with sharp or spiky morphology (i.e. pointed peak). 
(2) Different wave-duration than the ongoing background activity, either shorter or longer. 
(3) Asymmetry of the waveform: a sharply rising ascending phase and a more slowly decaying descending phase, or vice versa. 
(4) The transient is followed by an associated slow after-wave. (5) The background activity surrounding epileptiform discharges is disrupted by the presence of the epileptiform discharges. 
(6) Distribution of the negative and positive potentials on the scalp suggests a source of the signal in the brain, corresponding to a radial, oblique or tangential orientation of the source (see dipole). This is best assessed by inspecting voltage maps constructed using common-average reference. 
Synonyms: interictal epileptiform discharge, epileptiform activity.

"	Pattern epilettiforme	"Descrive dei grafoelementi, che si stagliano dall'attività di fondo, con una morfologia caratteristica che si trova tipicamente, ma non esclusivamente né invariabilmente, negli EEG intercritici delle persone con epilessia. Un pattern epilettiforme deve soddisfare almeno 4 dei seguenti 6 criteri: 
(1) Onde di- o tri-fasiche con morfologia puntuta (cioè picco appuntito). 
(2) Diversa durata dell'onda rispetto all'attività di fondo in corso, sia essa più breve o più lunga. 
(3) Asimmetria della forma d'onda: una fase ascendente fortemente pendente e una fase discendente più lenta, o viceversa. 
(4) il grafoelemento è seguito da una onda lenta. 
(5) L'attività di fondo che circonda le scariche epilettiformi è perturbata per la presenza delle scariche epilettiformi. 
(6) La distribuzione dei potenziali negativi e positivi sullo scalpo suggerisce una sorgente del segnale, nonché il suo orientamento, radiale, obliquo o tangenziale (vedi dipolo). Ciò si valuta meglio ispezionando le mappe di voltaggio costruite usando una referenza media comune. 
Sinonimi: scarica epilettiforme intercritica, attività epilettiforme."
113	Epoch	EEG segment with a defined duration. Duration of epochs is determined arbitrarily but should be specified.	Epoca	Segmento EEG con una durata definita. La durata delle epoche è determinata arbitrariamente ma dovrebbe essere specificata.
114	Equipotential	Applies to regions of the head or electrodes that are at the same potential at a given instant in time. Synonyms: isopotential line, isopotential.	Equipotenziale	Si applica alle regioni della testa o agli elettrodi che sono allo stesso potenziale in un dato istante di tempo. Sinonimi: linea isopotenziale, isopotenziale.
115	Event-related potential (ERP)	Refer to long latency responses (>70 ms) associated with an event, such as a deviant stimulus (as in mismatch negativity, P3 or P300), anticipation of a response (as in Bereitschaftspotential), or anticipation of a stimulus demanding a response (as in contingent negative variation). Applied mainly to slow (on account of their lower frequency content) ‘endogenous’ evoked potentials elicited by controlled manipulation of the psychological context. Thought to reflect some aspect of higher sensory processing, and therefore sometimes referred to as “cognitive potentials”, such as: attention, expectancy, novelty detection, stimulus salience, target recognition, task relevance, information delivery, decision making, stimulus evaluation time, template matching, memory, and closure of cognitive epoch. (See evoked potential, contingent negative variation, mismatch negativity, P3 or P300).	Potenziale evento-correlato (ERP, event-related potential)	Si riferisce a risposte a lunga latenza (>70 ms) associate a un evento, come ad esempio uno stimolo deviante/discordante (come nella negatività da discordanza, P3 o P300), l'anticipazione di una risposta (come nel Bereitschaftspotential), o l'anticipazione di uno stimolo che richiede una risposta (come nella variazione negativa contingente). Applicato principalmente ai potenziali evocati “endogeni” lenti (a causa del loro contenuto di frequenza più basso) suscitati da una manipolazione controllata del significato attribuito agli stimoli presentati. Si ritiene che riflettano una elaborazione sensoriale superiore, e quindi a volte vengono chiamati “potenziali cognitivi”, come: attenzione, aspettativa, rilevamento di novità, salienza dello stimolo, riconoscimento del bersaglio, rilevanza del compito, consegna delle informazioni, processo decisionale, tempo di valutazione dello stimolo, corrispondenza del modello, memoria e chiusura dell'epoca cognitiva. (Vedi potenziale evocato, variazione negativa contingente, negatività da discordanza, P3 o P300).
116	Evoked magnetic field	Magnetic counterpart of EEG evoked potential. (See evoked potential, magnetoencephalography).	Campo magnetico evocato	Controparte magnetica del potenziale evocato EEG. (Vedi potenziale evocato, magnetoencefalografia).
117	Evoked potential (EP)	Wave or complex elicited by and time-locked to a physiological or non-physiological stimulus or event, the timing of which can be reliably assessed. Comment: computer summation (averaging) techniques are especially suitable for detecting these and other event-related potentials from the surface of the head. See event-related potential.	Potenziale evocato (EP, evoked potential)	Onda o complesso evocato da e temporalmente legato a uno stimolo o evento fisiologico o non fisiologico, la cui latenza può essere valutata in modo affidabile. Commento: le tecniche di sommazione (media) computerizzate sono particolarmente adatte a rilevare questi e altri potenziali evento-correlati dalla superficie dello scalpo. Vedi potenziale evento-correlato.
118	Exploring electrode	An electrode that registers electrical potentials from excitable tissue of the nervous system, historically connected to the input terminal 1 of an EEG amplifier, against a reference electrode, connected to the input terminal 2. Synonym: active electrode (use discouraged as all recording electrodes may be considered ‘active’, including any reference electrode). (See reference electrode).	Elettrodo esplorante	Un elettrodo che registra i potenziali elettrici dal tessuto eccitabile del sistema nervoso, storicamente collegato al terminale di ingresso 1 di un amplificatore EEG, verso un elettrodo di riferimento, collegato al terminale di ingresso 2. Sinonimo: elettrodo attivo (l'uso è sconsigliato in quanto tutti gli elettrodi di registrazione possono essere considerati “attivi”, compreso qualsiasi elettrodo di riferimento). (Vedi elettrodo di riferimento)
119	Extracerebral potential	Any potential that does not originate in the brain, generally referred to as an artifact in EEG. May arise from electrical interference external to the subject and recording system, the subject, the electrodes and their connections to the subject and the electroencephalograph, and the electroencephalograph itself (see artifact).	Potenziale extracerebrale	Qualsiasi potenziale che non ha origine nel cervello, generalmente indicato come un artefatto sull'EEG. Può essere generato da interferenze elettriche esterne al soggetto e al sistema di registrazione, dal soggetto, dagli elettrodi e dalle loro connessioni al soggetto e all'elettroencefalografo, e dall'elettroencefalografo stesso (vedi artefatto).
120	Extreme delta brush	A particular pattern characterized by near continuous widespread rhythmic delta activity (1–3 c/s) with superimposed bursts of beta frequency activity (20–30 Hz) on top of each delta wave. Mostly symmetric and synchronous; do not vary with sleep-wake cycles or significantly with stimulation. The pattern has been described in autoimmune encephalitis associated with anti-N-Methyl D-Aspartate receptor antibodies. Named after a resemblance to the delta brush seen in preterm infants (see delta brush).	Extreme delta brush	Un pattern particolare caratterizzato da un'attività delta ritmica diffusa quasi continua (1-3 Hz) con sovraimposizione, in ogni onda delta, di burst di attività di frequenza beta (20-30 Hz). È per lo più simmetrico e sincrono, non varia con i cicli sonno-veglia o significativamente con la stimolazione. Tale pattern è stato descritto nell'encefalite autoimmune associata ad anticorpi anti-recettori per N-Methyl D-Aspartato. Prende il nome da una somiglianza con il delta brush osservabile nei neonati pretermine (vedi delta brush).
121	Far-field potential	A potential generated in a deep neural structure and recorded by electrodes on the head at a distance from the generator, as a result of volume conduction and not mediated by neuronal activity. (See volume conduction, and for example brainstem auditory evoked potentials).	Potenziale far-field (lett. campo lontano)	Un potenziale generato in una struttura cerebrale profonda e registrato da elettrodi posti sul capo ad una certa distanza dal generatore, come risultante della conduzione di volume e non mediato quindi dall'attività neuronale. (Vedi conduzione di volume e come esempio potenziali evocati uditivi tronco-encefalici).
122	Fast activity	Activity of frequency higher than the alpha band, i.e. beta and gamma activity, and high frequency oscillations.	Attività rapida	Attività di frequenza superiore alla banda alfa, cioè attività di banda beta e gamma, e oscillazioni ad alta frequenza.
123	Fast alpha variant rhythm	A normal variant. Characteristic rhythm at 14–20 Hz, detected most prominently over the posterior regions of the head. May alternate or be intermixed with alpha rhythm, of which it is usually a harmonic frequency. Blocked or attenuated by attention, especially visual, and mental effort.	Variante rapida del ritmo alfa	Una variante normale. Ritmo a 14-20 Hz, evidente soprattutto nelle regioni posteriori del capo. Può alternarsi o inframmezzarsi al ritmo alfa, di cui è una frequenza armonica. È bloccato o attenuato dall'attenzione, soprattutto visiva, e dallo sforzo mentale.
124	Fast ripples	Part of the high frequency oscillation (HFO) bandwidth, usually defined as being in the range 250–1000 Hz (see high frequency oscillations).	Fast ripples	Oscillazioni ad alta frequenza (HFO, high frequency oscillations) comprese tra 250 e 1000 Hz (vedi oscillazioni ad alta frequenza).
125	Fast wave	Wave with duration shorter than alpha waves, i.e. under 1/13 s.	Onda rapida	Onda con durata più breve delle onde alfa, cioè sotto 1/13 s (superiore a 13 Hz).
126	Focal	Limited to a small area of the brain in one hemisphere (see regional, multifocal). Focal epileptic seizures are conceptualized as originating within networks limited to one hemisphere, and usually associated with an initially localized epileptiform EEG pattern (see epileptiform pattern).	Focale	Limitato a una piccola area del cervello in un emisfero (vedi regionale, multifocale). Le crisi epilettiche focali si ritengono originare all'interno di network localizzati in un emisfero, e quindi di solito associate a un pattern EEG epilettiforme inizialmente localizzato (vedi pattern epilettiforme).
127	Focus	A limited region of the scalp, cerebral cortex, or depth of the brain displaying a given EEG activity, either normal or abnormal.	Focus	Una regione limitata dello scalpo, della corteccia cerebrale o delle regioni cerebrali profonde che mostra una determinata attività EEG, normale o anormale.
128	Foramen ovale electrode	A multicontact electrode bundle inserted through the foramen ovale to lie in proximity to the mesial temporal cortex. Comment: used for presurgical assessment of epilepsy of suspected mesial temporal lobe origin. (See basal electrode).	Elettrodo del forame ovale	Un elettrodo multicontatto inserito attraverso il forame ovale per posizionarsi in prossimità della corteccia temporale mesiale. Commento: è utilizzato per la valutazione prechirurgica dell'epilessia a presunta origine dal lobo temporale mesiale. (Vedi elettrodo basale).
129	Fourteen and 6-Hz positive burst or spikes	A normal variant. Burst of arch-shaped waves or spikes at 13–17 c/s and/or 5–7 c/s, but most commonly at 14 and/or 6 c/s, usually seen bilaterally over the posterior temporal and adjacent areas, typically during drowsiness and light sleep, with incidence peaking in adolescence. The sharp peaks of its component waves are positive with respect to other regions. Amplitude varies but is generally below 75 µV. Comments: (1) best demonstrated by referential recording using contralateral earlobe or common average reference electrodes. (2) This pattern has been termed “pseudo-epileptiform” (i.e. not associated with a liability to epileptic seizures). Synonym: ctenoids (use of term discouraged).	Burst di onde arcuate o punte positive a 14 e/o 6 Hz	Una variante normale. Burst di onde arcuate o punte a 13-17 Hz e/o a 5-7 Hz, ma più comunemente a 14 e/o 6 Hz, di solito bilaterali sulle aree temporali posteriori e quelle adiacenti, tipicamente a comparsa durante la sonnolenza e il sonno leggero, con incidenza massima nell'adolescenza. La componente appuntita delle onde è a polarità positiva rispetto ad altre regioni. L'ampiezza varia ma è generalmente inferiore a 75 µV. Commenti: (1) pattern meglio evidente nelle registrazioni referenziali, utilizzando come referenza un elettrodo posto sul lobo auricolare controlaterale o la referenza media; (2) questo pattern è stato definito “pseudo-epilettiforme” (cioè non ritenuto associabile alle crisi epilettiche). Sinonimo: ctenoidi (uso del termine sconsigliato).
130	Frequency	Number of complete cycles of repetitive waves or complexes in 1 s. Measured in cycles per second (c/s) or Hertz (Hz). Comment: the term Hz seems appropriate when applied to sinusoidal waves such as alpha activity, but seems inappropriate when applied to complex waveforms such as spike-and-slow-waves, which may be more correctly quantified by c/s. This principle has been applied throughout this glossary.	Frequenza	Numero di cicli completi di onde ripetitive o di complessi in 1 s. Misurato in cicli al secondo (c/s) o Hertz (Hz). Commento: il termine Hz sembra appropriato quando viene applicato a onde sinusoidali come l'attività alfa, ma sembra inappropriato quando viene applicato a forme d'onda più complesse come i complessi punta-onda lenta, che possono essere più correttamente quantificate in c/s. N.d.T. questo principio non è stato applicato nella traduzione del glossario, in cui si è scelto il termine univoco di Hz.
